feature,RandomForest_mean_importance,RandomForest_selection_freq,LogisticL1_mean_importance,LogisticL1_selection_freq,LogisticElasticNet_mean_importance,LogisticElasticNet_selection_freq,overall_mean_importance,overall_selection_freq,selected_by_n_models
484_unknown_15.9752,0.004759721786542694,1.0,0.34850588146960515,0.8,0.24268461329693303,0.8,0.33062306545351455,0.8666666666666667,3
"210_1-Hexene, 2,5-dimethyl-_9.1419",0.0019164079196484396,1.0,0.7122189086474343,0.6,0.2366953726024287,1.0,0.32777591503385667,0.8666666666666667,3
196_Tegafur_8.8936,0.0035105113819082373,1.0,0.5586468851826284,0.6,0.17078244161266506,1.0,0.3074686717986095,0.8666666666666667,3
299_unknown_10.9247,0.004068348511288662,1.0,0.44296373214118273,0.6,0.17506244555338182,1.0,0.2995869593814164,0.8666666666666667,3
583_unknown_19.9853,0.0007427587937050321,1.0,0.5148887144120503,0.8,0.33899540250136057,0.8,0.2989632181389425,0.8666666666666667,3
14_Acetaldehyde_4.7342,0.0036463975448917476,1.0,0.4587673441159159,0.8,0.15490455317464755,0.8,0.28138575732793963,0.8666666666666667,3
"200_Benzene, 1,3-dimethyl-_8.9596",0.0039609604110529845,1.0,0.23143756315730016,0.6,0.1909664749529955,1.0,0.2567534717921494,0.8666666666666667,3
120_unknown_7.3588,0.0015306185292142567,1.0,0.4337059901299056,0.8,0.23765686336540828,0.8,0.2548083658301891,0.8666666666666667,3
"478_2,4-Di-tert-butylphenol_15.8435",0.003983703656468251,1.0,0.25294001670486654,0.8,0.17153852357449312,0.8,0.2529152876026847,0.8666666666666667,3
530_Tetradecanal_17.6668,0.0015206855023301004,1.0,0.4469181134974021,0.6,0.22314562316486636,1.0,0.250532461011104,0.8666666666666667,3
216_Styrene_9.2443,0.0014630170215289783,1.0,0.42623992505032676,0.8,0.21880013700093798,0.8,0.24216806352807652,0.8666666666666667,3
152_Octane_8.0047,0.001634805825176901,1.0,0.35058315941963425,0.8,0.23880441628013643,0.8,0.23972524710604218,0.8666666666666667,3
446_unknown_14.961,0.0034539146874325447,1.0,0.2667697434313773,0.8,0.16753621012097783,0.8,0.2389213760867865,0.8666666666666667,3
511_unknown_16.9083,0.001013027968937985,1.0,0.3152861345289876,0.8,0.2622520311002331,0.8,0.22524150598876913,0.8666666666666667,3
361_Propanal_12.3811,0.0026316892258670737,1.0,0.2708012719888051,0.8,0.18540201578752363,0.8,0.22483119852691913,0.8666666666666667,3
622_Tricosane_22.7249,0.0024926569599504245,1.0,0.2604552119810778,0.8,0.19619388182916403,0.8,0.22370083156967943,0.8666666666666667,3
593_unknown_20.4504,0.0006286743138282801,1.0,0.4195785349937314,0.6,0.19390685566929705,1.0,0.2048554562199727,0.8666666666666667,3
606_Nonacosane_21.3482,0.0008627917531165074,1.0,0.25035424669672435,0.8,0.2222327370130881,0.8,0.1872274923852599,0.8666666666666667,3
50_unknown_5.9583,0.002162309458032526,1.0,0.2673847341381445,0.6,0.09207084368280302,1.0,0.1659187282895296,0.8666666666666667,3
473_unknown_15.7342,0.002001726090074997,1.0,0.18395612822487964,0.8,0.08333745402439767,0.8,0.13845079102603583,0.8666666666666667,3
"355_Cyclohexanol, 5-methyl-2-(1-methylethyl)-_12.3456",0.0012705186107396385,1.0,0.23213095780728077,0.6,0.0817053696169733,1.0,0.12751531494935953,0.8666666666666667,3
"30_1,2-Pentadiene_5.1548",0.004982225203889649,1.0,0.6630115369921609,0.6,0.33011328461147305,0.8,0.44931156785641285,0.8,3
322_Nonanal_11.4767,0.011637828944946069,1.0,0.17758014975581515,0.6,0.11818757706772572,0.8,0.4297145092964036,0.8,3
"330_Isoquinoline, 3-butyl-_11.6979",0.007107155037081571,1.0,0.3603809007310484,0.6,0.2235959426322348,0.8,0.3913754405252701,0.8,3
202_1-Ethyl-4-methylcyclohexane_8.9946,0.005084620094666055,1.0,0.19685459347726128,0.8,0.2720666919789659,0.6,0.32003696295821776,0.8,3
"574_13-Docosen-1-ol, (Z)-_19.6446",0.002650531693072655,1.0,0.5437721241690502,0.6,0.2523026357554185,0.8,0.31855149702769725,0.8,3
495_Heneicosane_16.2392,0.005147608537199741,1.0,0.2738579464256981,0.6,0.21552980060944826,0.8,0.312007750255164,0.8,3
224_Bis(tert-butyldimethylsilyl) methylphosphonate_9.4158,0.0018921921898066244,1.0,0.482720496750273,0.6,0.2659179802151182,0.8,0.28967869785274103,0.8,3
252_Cyclodecane_9.9578,0.002181334989265834,1.0,0.4368976211714138,0.6,0.1795258570820245,0.8,0.2463179282075476,0.8,3
